,store_id,address,town,state,zip_code,phone_number,bisc_gravy,store_open_date,store_latitude,store_longitude
7292,19725,15095 W 151st St,Olathe,KANSAS,66062,9138295877,0,1996-07-11,38.854292,-94.760599
7293,32475,1035 Lisbon Street,Lewiston,MAINE,04240,2077836538,0,2008-12-17,44.080646,-70.196236
7294,13328,251 Saint George Ave,Roselle,NEW JERSEY,07203,9082451490,0,1995-03-01,40.641243,-74.261337
7295,633,12256 Paramount Blvd,Downey,CALIFORNIA,90242,5629230294,0,1964-04-28,33.928738,-118.147865
7296,4404,1600 Alameda Blvd Nw,Albuquerque,NEW MEXICO,87106,5058970310,0,1977-12-15,35.202335,-106.647158
7297,6439,67 Main St,Le Roy,NEW YORK,14482,5857682913,0,1982-11-05,42.977155,-77.991433
7298,32025,3325 Daniels Rd,Winter Garden,FLORIDA,34787,4076541794,0,2007-10-03,28.520433,-81.58646
7299,19375,3160 Baldwin Park Blvd,Baldwin Park,CALIFORNIA,91706,6268510179,0,1997-06-12,34.069955,-117.978882
7300,6593,1287 Washington St,San Leandro,CALIFORNIA,94577,5104837591,0,1983-03-02,37.724882,-122.157056
7301,26436,4330 Dallas Ft Worth Turnpike,Dallas,TEXAS,75211,2143312262,0,2004-05-27,32.765228,-96.896889
7302,10857,4849 North Kickapoo Street,Shawnee,OKLAHOMA,74801,4052734249,1,1988-12-13,35.382282,-96.929048
7303,11745,6815 Valley Way,Rubidoux,CALIFORNIA,92509,9513603261,0,1990-12-23,34.011326,-117.435677
7304,799,1300 W Galena,Freeport,ILLINOIS,61032,8152353610,0,1966-03-01,42.302022,-89.645017
7305,13778,505 Waldron Rd,La Vergne,TENNESSEE,37086,6157934310,1,1995-10-12,36.00004,-86.595715
7306,14547,20500 Torrence Chapel Rd,Cornelius,NORTH CAROLINA,28031,7048928791,1,1995-01-28,35.483789,-80.876478
7307,4054,1221 Tolland Tpke,Manchester,CONNECTICUT,06040,8606439735,0,1977-04-28,41.797098,-72.556078
7308,6069,809 E. Sr44,Wildwood,FLORIDA,34785,3527484288,0,1981-11-25,28.872157,-82.090933
7309,12885,7200 W Mcnab Road,North Lauderdale,FLORIDA,33068,9547266340,0,1993-07-21,26.207843,-80.221505
7310,776,1198 San Pablo Ave,Berkeley,CALIFORNIA,94706,5105251411,0,1966-02-18,37.882496,-122.296951
7311,14052,211 E Little Creek Rd,Norfolk,VIRGINIA,23505,7574803012,0,1994-06-29,36.915178,-76.269205
7312,4541,514 W California,Gainesville,TEXAS,76240,9406650218,0,1978-05-08,33.624043,-97.149601
7313,18972,921 W Broad St,St Pauls,NORTH CAROLINA,28384,9102413108,1,1999-08-26,34.809256,-78.984467
7314,6086,260 W Swedeford Rd,Berwyn,PENNSYLVANIA,19312,6106474408,0,1982-05-20,40.070722,-75.44271
